fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
14/11/2021;Segovia;21524;2;2075;383;40004;41.166667,-4.0
14/11/2021;Valladolid;68190;24;8269;1290;47186;41.583333,-4.666667
14/11/2021;LeÇün;52230;11;5713;1218;24089;42.666667,-6.0
14/11/2021;Soria;12617;2;1423;296;42173;41.666667,-2.666667
14/11/2021;Zamora;18365;0;2206;468;49275;41.75,-6.0
14/11/2021;Burgos;53199;31;4990;806;9059;42.383333,-3.666667
14/11/2021;Palencia;25218;11;2572;504;34120;42.432128,-4.520647
13/11/2021;Palencia;25207;9;2572;504;34120;42.432128,-4.520647
13/11/2021;LeÇün;52219;47;5713;1218;24089;42.666667,-6.0
13/11/2021;Salamanca;40210;19;4377;885;37274;40.833333,-6.0
13/11/2021;Soria;12615;6;1422;296;42173;41.666667,-2.666667
13/11/2021;Valladolid;68166;52;8268;1290;47186;41.583333,-4.666667
13/11/2021;Çvila;17398;21;1963;378;5019;40.616092,-4.929031
13/11/2021;Burgos;53168;42;4988;804;9059;42.383333,-3.666667
13/11/2021;Segovia;21522;15;2075;383;40004;41.166667,-4.0
13/11/2021;Zamora;18365;7;2206;468;49275;41.75,-6.0
12/11/2021;Burgos;53126;53;4980;802;9059;42.383333,-3.666667
12/11/2021;Segovia;21507;8;2072;382;40004;41.166667,-4.0
12/11/2021;LeÇün;52172;34;5713;1218;24089;42.666667,-6.0
12/11/2021;Palencia;25198;3;2570;504;34120;42.432128,-4.520647
12/11/2021;Çvila;17377;34;1963;378;5019;40.616092,-4.929031
12/11/2021;Salamanca;40191;19;4375;885;37274;40.833333,-6.0
12/11/2021;Soria;12609;3;1422;296;42173;41.666667,-2.666667
12/11/2021;Valladolid;68114;61;8266;1290;47186;41.583333,-4.666667
12/11/2021;Zamora;18358;2;2206;468;49275;41.75,-6.0
11/11/2021;Palencia;25195;9;2570;504;34120;42.432128,-4.520647
11/11/2021;Valladolid;68053;60;8264;1289;47186;41.583333,-4.666667
11/11/2021;Zamora;18356;14;2205;467;49275;41.75,-6.0
11/11/2021;Burgos;53073;55;4977;802;9059;42.383333,-3.666667
11/11/2021;Salamanca;40172;20;4374;884;37274;40.833333,-6.0
11/11/2021;Soria;12604;0;1422;296;42173;41.666667,-2.666667
11/11/2021;Çvila;17344;14;1963;378;5019;40.616092,-4.929031
11/11/2021;LeÇün;52138;27;5712;1218;24089;42.666667,-6.0
11/11/2021;Segovia;21499;9;2072;382;40004;41.166667,-4.0
10/11/2021;Segovia;21490;12;2072;382;40004;41.166667,-4.0
10/11/2021;Soria;12605;3;1422;296;42173;41.666667,-2.666667
10/11/2021;LeÇün;52111;33;5711;1218;24089;42.666667,-6.0
10/11/2021;Zamora;18342;6;2203;467;49275;41.75,-6.0
10/11/2021;Çvila;17330;19;1963;378;5019;40.616092,-4.929031
10/11/2021;Burgos;53019;27;4975;802;9059;42.383333,-3.666667
10/11/2021;Palencia;25186;22;2569;504;34120;42.432128,-4.520647
10/11/2021;Salamanca;40153;20;4374;884;37274;40.833333,-6.0
10/11/2021;Valladolid;67992;41;8261;1289;47186;41.583333,-4.666667
09/11/2021;LeÇün;52078;17;5711;1218;24089;42.666667,-6.0
09/11/2021;Segovia;21478;28;2072;382;40004;41.166667,-4.0
09/11/2021;Valladolid;67953;46;8258;1288;47186;41.583333,-4.666667
09/11/2021;Zamora;18336;11;2202;467;49275;41.75,-6.0
09/11/2021;Burgos;52993;30;4972;802;9059;42.383333,-3.666667
09/11/2021;Çvila;17311;24;1962;378;5019;40.616092,-4.929031
09/11/2021;Palencia;25166;11;2567;504;34120;42.432128,-4.520647
09/11/2021;Salamanca;40134;7;4374;884;37274;40.833333,-6.0
09/11/2021;Soria;12602;0;1422;296;42173;41.666667,-2.666667
08/11/2021;Çvila;17287;5;1961;378;5019;40.616092,-4.929031
08/11/2021;Burgos;52963;9;4971;802;9059;42.383333,-3.666667
08/11/2021;Palencia;25155;1;2567;504;34120;42.432128,-4.520647
08/11/2021;Soria;12603;1;1418;295;42173;41.666667,-2.666667
08/11/2021;Zamora;18325;2;2202;467;49275;41.75,-6.0
08/11/2021;Salamanca;40127;1;4371;884;37274;40.833333,-6.0
08/11/2021;Segovia;21451;4;2070;381;40004;41.166667,-4.0
08/11/2021;Valladolid;67908;8;8256;1288;47186;41.583333,-4.666667
08/11/2021;LeÇün;52061;6;5710;1218;24089;42.666667,-6.0
07/11/2021;LeÇün;;;5710;1218;24089;42.666667,-6.0
07/11/2021;Segovia;;;2070;381;40004;41.166667,-4.0
07/11/2021;Çvila;;;1961;378;5019;40.616092,-4.929031
07/11/2021;Valladolid;;;8255;1288;47186;41.583333,-4.666667
07/11/2021;Zamora;;;2202;467;49275;41.75,-6.0
07/11/2021;Burgos;;;4966;800;9059;42.383333,-3.666667
07/11/2021;Palencia;;;2567;504;34120;42.432128,-4.520647
07/11/2021;Salamanca;;;4371;884;37274;40.833333,-6.0
07/11/2021;Soria;;;1418;295;42173;41.666667,-2.666667
06/11/2021;Salamanca;;;4371;884;37274;40.833333,-6.0
06/11/2021;Segovia;;;2069;381;40004;41.166667,-4.0
06/11/2021;Soria;;;1418;295;42173;41.666667,-2.666667
06/11/2021;Valladolid;;;8253;1287;47186;41.583333,-4.666667
06/11/2021;Zamora;;;2202;467;49275;41.75,-6.0
06/11/2021;Çvila;;;1961;378;5019;40.616092,-4.929031
06/11/2021;Burgos;;;4964;800;9059;42.383333,-3.666667
06/11/2021;LeÇün;;;5710;1218;24089;42.666667,-6.0
06/11/2021;Palencia;;;2567;504;34120;42.432128,-4.520647
05/11/2021;Valladolid;67858;25;8252;1287;47186;41.583333,-4.666667
05/11/2021;Zamora;18316;5;2200;467;49275;41.75,-6.0
05/11/2021;Çvila;17249;13;1960;378;5019;40.616092,-4.929031
05/11/2021;Burgos;52893;48;4960;800;9059;42.383333,-3.666667
